POLE1,POLE2
1190,200
1190,205
1190,218
1191,30
1191,43
1191,90
1191,106
1191,166
1191,185
1191,190
1191,206
1192,31
1192,70
1192,74
1192,146
1192,161
1192,197
1192,209
1192,213
1193,85
1193,100
1193,121
1193,129
1193,159
1193,164
1194,34
1194,67
1194,80
1194,109
1194,116
1194,173
1194,219
1195,40
1195,81
1195,122
1195,140
1195,170
1195,181
1195,193
1195,210
1196,41
1196,68
1196,114
1196,127
1196,169
1196,211
1196,220
1197,42
1197,73
1197,96
1197,115
1197,149
1197,162
1197,216
1198,32
1198,37
1198,78
1198,94
1198,117
1198,179
1198,191
1198,212
1199,83
1199,92
1199,104
1199,119
1199,124
1199,132
1199,167
1199,215
1200,103
1200,128
1200,137
1200,154
1200,184
1201,59
1201,64
1201,151
1201,157
1201,165
1201,182
1201,201
1202,76
1202,77
1202,91
1202,118
1202,177
1202,198
1202,202
1203,82
1203,108
1203,155
1203,158
1203,196
1203,203
1501,1251
1501,1264
1501,1433
1501,1470
1502,1258
1502,1273
1502,1354
1502,1457
1503,1283
1503,1287
1503,1415
1503,1464
1504,1249
1504,1294
1504,1456
1504,1495
1505,1352
1505,1475
1505,1506
1506,1252
1506,1314
1506,1409
1507,1271
1507,1404
1507,1458
1508,1300
1508,1330
1508,1372
1509,1325
1509,1347
1509,1417
1510,1303
1510,1356
1510,1477
1511,1307
1511,1328
1511,1383
1512,1296
1512,1416
1512,1447
1513,1274
1513,1338
1513,1357
1514,1359
1514,1419
1514,1422
1515,1302
1515,1376
1515,1427
1516,1281
1516,1282
1516,1318
1516,1507
1517,1355
1517,1410
1517,1505
1518,1301
1518,1451
1518,1503
1519,1304
1519,1460
1519,1481
1520,1358
1520,1378
1520,1508
1521,1245
1521,1317
1521,1432
1522,1278
1522,1286
1522,1430
1523,1293
1523,1369
1523,1468
1524,1246
1524,1384
1524,1469
1525,1371
1525,1421
1525,1486
1526,1522
1526,1652
1526,1737
1527,1520
1527,1615
1527,1626
1528,1582
1528,1613
1529,1598
1529,1765
1530,1625
1530,1769
1531,1523
1531,1691
1531,1772
1532,1534
1532,1692
1532,1738
1533,1658
1533,1675
1534,1535
1534,1677
1534,1756
1535,1521
1535,1542
1535,1667
1536,1644
1536,1761
1537,1628
1537,1643
1538,1545
1538,1770
1538,1778
1539,1548
1539,1702
1539,1722
1540,1515
1540,1568
1540,1693
1541,1662
1541,1777
1542,1516
1542,1552
1542,1781
1543,1668
1543,1679
1544,1554
1544,1721
1545,1573
1545,1656
1546,1525
1546,1574
1546,1670
1547,1605
1547,1632
1548,1595
1548,1608
1548,1760
1549,1717
1549,1759
1550,1698
1550,1757
1551,1563
1551,1715
1552,1606
1552,1619
1552,1773
1553,1587
1553,1697
1553,1712
1554,2110
1554,2143
1554,2149
1555,2103
1555,2198
1556,2122
1556,2245
1556,2295
1557,2147
1557,2181
1557,2226
1558,2148
1558,2179
1558,2227
1559,2116
1559,2247
1559,2338
1560,2225
1560,2246
1560,2302
1561,2214
1561,2264
1561,2336
1562,2215
1562,2298
1563,2263
1563,2318
1563,2331
1564,2223
1564,2259
1564,2343
1565,2272
1565,2284
1565,2337
1566,2151
1566,2206
1566,2244
1567,2123
1567,2176
1567,2197
1568,2154
1568,2189
1568,2192
1569,2162
1569,2328
1569,2345
1570,2144
1570,2184
1570,2238
1571,2265
1571,2277
1572,2159
1572,2196
1572,2204
1573,2222
1573,2233
1573,2282
1574,2178
1574,2211
1574,2267
1575,2161
1575,2293
1575,2326
1576,2112
1576,2315
1577,2126
1577,2314
1577,2349
1578,2130
1578,2158
1578,2242
1579,2119
1579,2153
1579,2160
1580,1943
1580,2012
1580,2100
1581,1941
1581,2049
1582,1960
1582,2085
1583,1942
1583,1967
1583,1989
1584,1968
1584,2060
1585,1965
1585,2014
1585,2092
1586,1924
1586,1982
1586,2089
1587,1879
1587,1888
1587,2013
1588,1952
1588,2059
1589,1866
1589,1947
1590,1921
1590,2029
1591,1917
1591,2079
1592,2021
1592,2047
1592,2097
1593,1908
1593,2038
1593,2046
1594,1867
1594,1978
1594,2070
1595,1898
1595,1959
1595,1976
1596,1896
1596,2042
1596,2045
1597,1865
1597,1953
1597,2084
1598,1902
1598,2065
1598,2066
1599,1907
1599,1935
1599,2048
1600,1892
1600,2030
1600,2099
1601,1880
1601,1972
1601,2086
1602,1909
1602,1945
1602,2020
1603,1944
